Hour,Wind Speed
0,5.370770454406738
1,5.349170684814453
2,5.249952793121338
3,5.123721122741699
4,5.0266547203063965
5,4.412449836730957
6,4.40658712387085
7,4.3550472259521475
8,3.95574164390564
9,3.337550401687622
10,3.443135976791382
11,4.368206977844238
12,4.527453422546387
13,4.686044692993164
14,4.80056095123291
15,4.851428985595703
16,4.7039570808410645
17,4.677414417266847
18,4.802265167236328
19,4.771555423736572
20,4.5896949768066415
21,4.3657331466674805
22,4.1562275886535645
23,3.958435535430908
0,3.78027606010437
1,3.602466583251953
2,3.4927961826324463
3,3.3276827335357666
4,3.1497070789337163
5,3.0419375896453857
6,3.0476889610290527
7,3.128881931304932
8,3.046251058578491
9,2.5955111980438232
10,2.6670775413513184
11,2.7127306461334233
12,2.6325795650482178
13,2.5987839698791504
14,2.475367784500122
15,2.4110679626464844
16,2.5450220108032227
17,2.9828600883483887
18,3.3685927391052246
19,3.516396760940552
20,3.729753017425537
21,3.903530359268189
22,3.917681455612183
23,3.8470399379730233
0,3.7846601009368896
1,3.7399387359619136
2,3.600226640701294
3,3.4173243045806885
4,3.277555227279663
5,3.1930978298187256
6,3.1430242061614986
7,3.0735530853271484
8,2.725350856781006
9,2.1618881225585938
10,1.934450626373291
11,1.5936390161514282
12,1.2453935146331787
13,1.0816981792449951
14,1.0168894529342651
15,1.0827586650848389
16,1.4162051677703855
17,2.1930649280548096
18,2.752848863601685
19,3.0032267570495605
20,2.9162507057189937
21,2.6271815299987797
22,2.244016170501709
23,1.845428228378296
0,1.4498405456542969
1,1.112388014793396
2,1.0236395597457886
3,1.0506786108016968
4,1.1088619232177734
5,1.1171300411224363
6,1.0752542018890379
7,1.039443850517273
8,0.8423321843147278
9,0.4921349287033081
10,0.5490456223487854
11,1.0133583545684814
12,1.185593843460083
13,1.3033514022827148
14,1.3115592002868652
15,1.3095752000808716
16,1.5946919918060305
17,2.286337852478028
18,2.8904731273651123
19,3.1962735652923584
20,3.536343812942505
21,3.777554750442505
22,3.801671028137207
23,3.72709584236145
0,3.6653778553009033
1,3.6762604713439937
2,3.735711336135864
3,3.780583620071411
