Hour,Wind Speed
0,0.4359584152698517
1,0.45303437113761896
2,0.43494275212287903
3,0.4125215113162993
4,0.3967314064502716
5,0.5643680095672607
6,0.5535773038864136
7,0.5361759662628174
8,0.6434320211410522
9,0.7158421874046326
10,0.7271346449851991
11,0.7225733399391174
12,0.7161098718643188
13,0.7022665143013
14,0.6890636682510376
15,0.6363224387168884
16,0.6028302907943726
17,0.6441096663475037
18,0.6763591766357422
19,0.7259892225265503
20,0.7385125756263733
21,0.7209943532943726
22,0.6893427968025208
23,0.6537089943885803
0,0.6209604740142822
1,0.5998210310935974
2,0.57792729139328
3,0.5621643662452698
4,0.5539935231208801
5,0.5499662756919861
6,0.5357726812362671
7,0.4989060163497925
8,0.609986424446106
9,0.6345393061637878
10,0.6054719090461731
11,0.5525792241096497
12,0.4953263401985169
13,0.4476434588432312
14,0.4604131579399109
15,0.467704713344574
16,0.44674569368362427
17,0.5229519009590149
18,0.595690131187439
19,0.635952353477478
20,0.627838671207428
21,0.6204119324684143
22,0.6181003451347351
23,0.6087023019790649
0,0.6006802916526794
1,0.5981841087341309
2,0.5909496545791626
3,0.5875837206840515
4,0.5909861922264099
5,0.5985144376754761
6,0.6018375158309937
7,0.6213758587837219
8,0.6675762534141539
9,0.6736853718757629
10,0.6272686123847961
11,0.5572864413261414
12,0.4559953510761261
13,0.3561155796051025
14,0.3415535092353821
15,0.3366762697696686
16,0.36113089323043823
17,0.4178208112716675
18,0.4848231375217438
19,0.5246314406394958
20,0.5110256671905518
21,0.4987447261810303
22,0.4918709397315979
23,0.490992933511734
0,0.4929620623588562
1,0.4890288710594177
2,0.4540772438049317
3,0.4316658675670624
4,0.4226353168487549
5,0.4153889417648315
6,0.3985353112220764
7,0.3165079355239868
8,0.35958632826805115
9,0.41867849230766296
10,0.4694297313690186
11,0.4789342880249024
12,0.4721092879772186
13,0.458994060754776
14,0.4564752578735352
15,0.3993656635284424
16,0.3949964344501496
17,0.4340329170227051
18,0.4668550789356232
19,0.4920800030231476
20,0.4953283965587616
21,0.4901993870735169
22,0.4981200993061066
23,0.5116221308708191
0,0.5173441171646118
1,0.5158103704452515
2,0.4929895401000977
3,0.4859463572502136
4,0.4959176778793335
5,0.5023271441459656
6,0.4967006146907806
7,0.5000583529472351
8,0.5490244030952454
9,0.5452221035957336
10,0.5142969489097595
